timestamp,latency_p50,latency_p99,error_rate,cpu_percent,memory_mb
2025-01-15T14:00:00Z,42.81,117.91,0.000901,38.15,556.39
2025-01-15T14:01:00Z,39.01,103.13,0.000601,42.49,521.7
2025-01-15T14:02:00Z,36.39,110.59,0.00125,41.32,528.38
2025-01-15T14:03:00Z,34.73,111.69,0.000916,33.22,531.14
2025-01-15T14:04:00Z,44.29,144.02,0.001031,42.26,510.6
2025-01-15T14:05:00Z,40.92,102.23,0.000445,33.69,538.84
2025-01-15T14:06:00Z,43.94,134.61,0.001394,37.7,493.54
2025-01-15T14:07:00Z,38.61,121.38,0.000635,34.7,533.28
2025-01-15T14:08:00Z,39.71,137.5,0.000714,53.22,486.65
2025-01-15T14:09:00Z,43.98,138.74,0.000724,38.8,487.57
2025-01-15T14:10:00Z,48.35,102.61,0.001127,28.73,504.19
2025-01-15T14:11:00Z,53.94,103.16,0.001129,37.4,505.84
2025-01-15T14:12:00Z,44.17,111.98,0.00051,34.93,502.84
2025-01-15T14:13:00Z,46.76,120.22,0.000605,34.5,512.47
2025-01-15T14:14:00Z,40.68,137.89,0.000461,42.55,473.73
2025-01-15T14:15:00Z,51.39,110.17,0.061727,55.26,550.44
2025-01-15T14:16:00Z,55.02,115.58,0.052993,51.59,553.32
2025-01-15T14:17:00Z,43.12,128.91,0.057665,53.72,537.66
2025-01-15T14:18:00Z,48.59,72.5,0.046994,46.36,502.56
2025-01-15T14:19:00Z,42.19,85.72,0.040912,45.51,519.28
2025-01-15T14:20:00Z,45.23,126.09,0.049205,37.71,468.23
2025-01-15T14:21:00Z,42.54,129.01,0.051141,47.67,555.7
2025-01-15T14:22:00Z,44.21,111.47,0.05164,39.39,534.36
2025-01-15T14:23:00Z,45.27,135.07,0.043214,49.87,502.6
2025-01-15T14:24:00Z,44.33,143.88,0.050798,48.37,519.16
2025-01-15T14:25:00Z,47.86,125.2,0.049967,57.59,500.31
2025-01-15T14:26:00Z,44.94,134.88,0.046121,42.4,562.65
2025-01-15T14:27:00Z,40.38,128.91,0.050975,48.77,460.35
2025-01-15T14:28:00Z,35.45,114.38,0.057818,42.15,517.8
2025-01-15T14:29:00Z,38.66,104.15,0.040412,46.43,517.46
2025-01-15T14:30:00Z,43.58,134.16,0.050644,49.25,484.99
2025-01-15T14:31:00Z,45.76,116.9,0.047474,54.82,557.75
2025-01-15T14:32:00Z,35.3,119.88,0.041877,45.25,532.65
2025-01-15T14:33:00Z,47.96,109.23,0.054685,56.88,515.31
2025-01-15T14:34:00Z,45.19,137.89,0.055077,45.42,506.9
2025-01-15T14:35:00Z,36.28,97.62,0.042239,45.55,565.04
2025-01-15T14:36:00Z,42.04,125.07,0.049073,56.58,499.39
2025-01-15T14:37:00Z,45.74,81.33,0.054184,46.2,503.14
2025-01-15T14:38:00Z,40.51,111.1,0.044459,39.43,506.87
2025-01-15T14:39:00Z,35.98,112.18,0.053572,43.53,494.2
2025-01-15T14:40:00Z,42.93,149.97,0.065163,47.97,521.49
2025-01-15T14:41:00Z,49.24,123.76,0.056857,48.32,514.41
2025-01-15T14:42:00Z,44.47,102.88,0.0392,53.99,517.5
2025-01-15T14:43:00Z,50.88,126.87,0.046938,50.26,525.51
2025-01-15T14:44:00Z,50.23,108.49,0.047418,43.99,508.16
2025-01-15T14:45:00Z,43.77,127.44,0.053171,38.28,535.58
2025-01-15T14:46:00Z,46.7,129.19,0.049436,61.85,547.34
2025-01-15T14:47:00Z,45.81,122.77,0.042668,38.82,521.1
2025-01-15T14:48:00Z,43.03,126.86,0.040558,44.95,497.21
2025-01-15T14:49:00Z,44.81,130.68,0.054148,49.79,514.72
2025-01-15T14:50:00Z,45.8,116.17,0.055803,42.94,539.82
2025-01-15T14:51:00Z,43.55,114.85,0.047963,40.25,503.46
2025-01-15T14:52:00Z,53.1,108.33,0.03718,54.34,504.03
2025-01-15T14:53:00Z,45.27,102.57,0.053774,52.01,519.69
2025-01-15T14:54:00Z,39.66,121.02,0.055059,41.91,540.51
2025-01-15T14:55:00Z,42.66,113.26,0.0373,37.98,492.94
2025-01-15T14:56:00Z,36.87,93.35,0.055368,36.19,533.76
2025-01-15T14:57:00Z,39.14,141.6,0.043345,48.26,516.33
2025-01-15T14:58:00Z,44.22,107.91,0.0486,56.16,494.36
2025-01-15T14:59:00Z,43.45,124.89,0.037396,42.8,496.73
